name,team,position,pass_comp,pass_att,pass_yards,pass_tds,pass_ints,rush_att,rush_yards,rush_tds,receptions,rec_yards,rec_tds,two_pt_conv,fum_lost,fum_rec_td,points,points_ppr,birthdate
Charlie Whitehurst,TEN,QB,105,185,1326,7,2,20,90,0,0,10,0,0,0,0,87.04,87.04,8/6/82
Zach Mettenberger,TEN,QB,107,179,1412,8,7,5,4,0,0,0,0,0,2,0,70.88,70.88,7/16/91
Jake Locker,TEN,QB,86,146,993,5,7,22,142,1,0,0,0,0,1,0,63.92,63.92,6/15/88
Colt McCoy,WAS,QB,91,128,1057,4,3,16,66,1,0,0,0,0,1,0,62.88,62.88,9/5/86
EJ Manuel,BUF,QB,76,131,838,5,3,16,52,1,0,0,0,0,0,0,58.72,58.72,3/19/90
Derek Anderson,CAR,QB,65,97,701,5,0,8,24,0,0,0,0,0,0,0,50.44,50.44,6/15/83
Michael Vick,NYJ,QB,64,121,604,3,2,26,153,0,0,0,0,0,2,0,43.46,43.46,6/26/80
Chad Henne,JAC,QB,42,78,492,3,1,4,25,0,0,0,0,0,1,0,30.18,30.18,7/2/85
Matt Cassel,MIN,QB,41,71,425,3,4,7,18,0,0,0,0,0,0,0,22.80,22.80,5/17/82
Case Keenum,HOU,QB,45,77,435,2,2,10,35,0,0,0,0,0,1,0,22.90,22.90,2/17/88
Ryan Lindley,ARI,QB,45,93,562,2,4,0,0,0,0,0,0,0,0,0,22.48,22.48,6/22/89
Ryan Mallett,HOU,QB,41,75,400,2,2,6,-2,0,0,0,0,0,0,0,19.80,19.80,6/5/88
Brandon Weeden,DAL,QB,24,41,303,3,2,6,-1,0,0,0,0,0,0,0,20.02,20.02,10/14/83
Matt Hasselbeck,IND,QB,30,44,301,2,0,8,-11,0,0,0,0,0,1,0,16.94,16.94,9/25/75
Jameis Winston,TB,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,1/6/94
Marcus Mariota,TEN,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,10/30/93
DeMarco Murray,DAL,RB,0,0,0,0,0,393,1845,13,57,416,0,0,5,0,294.10,351.10,2/12/88
Le'Veon Bell,PIT,RB,0,0,0,0,0,290,1361,8,83,854,3,0,0,0,287.50,370.50,2/18/92
Marshawn Lynch,SEA,RB,0,0,0,0,0,280,1306,13,37,367,4,0,2,0,265.30,302.30,4/22/86
Matt Forte,CHI,RB,0,0,0,0,0,266,1038,6,102,808,4,2,2,0,244.60,346.60,12/10/85
Arian Foster,HOU,RB,1,1,5,1,0,260,1246,8,38,327,5,0,2,0,235.50,273.50,8/24/86
Eddie Lacy,GB,RB,0,0,0,0,0,246,1139,9,42,427,4,0,2,0,230.60,272.60,6/2/90
Jamaal Charles,KC,RB,0,0,0,0,0,205,1033,9,40,291,5,0,3,0,210.40,250.40,12/27/86
Justin Forsett,BAL,RB,0,0,0,0,0,235,1266,8,44,263,0,1,0,0,202.90,246.90,10/14/85
Lamar Miller,MIA,RB,0,0,0,0,0,216,1099,8,38,275,1,0,3,0,185.40,223.40,4/25/91
Jeremy Hill,CIN,RB,0,0,0,0,0,222,1124,9,27,215,0,0,2,0,183.90,210.90,10/20/92
C.J. Anderson,DEN,RB,0,0,0,0,0,179,849,8,34,324,2,0,0,0,177.30,211.30,2/10/91
LeSean McCoy,PHI,RB,0,0,0,0,0,314,1319,5,30,155,0,0,3,0,171.40,201.40,7/12/88
Alfred Morris,WAS,RB,0,0,0,0,0,265,1074,8,17,155,0,0,0,0,170.90,187.90,12/12/88
Joique Bell,DET,RB,0,0,0,0,0,223,860,7,34,322,1,0,1,0,164.20,198.20,8/4/86
Mark Ingram,NO,RB,0,0,0,0,0,226,964,9,29,145,0,0,1,0,162.90,191.90,12/21/89
Frank Gore,SF,RB,0,0,0,0,0,255,1103,4,11,111,1,0,2,0,147.40,158.40,5/14/83
Matt Asiata,MIN,RB,0,0,0,0,0,164,570,9,44,312,1,2,1,0,150.20,194.20,7/24/87
Giovani Bernard,CIN,RB,0,0,0,0,0,168,680,5,43,349,2,0,0,0,144.90,187.90,11/22/91
Chris Ivory,NYJ,RB,0,0,0,0,0,198,821,6,18,123,1,0,1,0,134.40,152.40,3/22/88
Andre Ellington,ARI,RB,0,0,0,0,0,201,660,3,46,395,2,0,2,0,131.50,177.50,2/3/89
Andre Williams,NYG,RB,0,0,0,0,0,216,721,7,18,130,0,0,0,0,127.10,145.10,8/28/92
Steven Jackson,ATL,RB,0,0,0,0,0,190,707,6,20,148,0,0,0,0,121.50,141.50,7/22/83
Jonathan Stewart,CAR,RB,0,0,0,0,0,176,809,3,25,181,1,0,1,0,121.00,146.00,3/21/87
Fred Jackson,BUF,RB,0,1,0,0,0,142,525,2,66,501,1,1,0,0,122.60,188.60,2/20/81
Tre Mason,STL,RB,0,0,0,0,0,179,765,4,16,148,1,0,1,0,119.30,135.30,8/6/93
Ahmad Bradshaw,IND,RB,0,0,0,0,0,90,425,2,38,300,6,0,2,0,116.50,154.50,3/19/86
Shane Vereen,NE,RB,0,0,0,0,0,96,391,2,53,447,3,0,0,0,113.80,166.80,3/2/89
Isaiah Crowell,CLE,RB,0,0,0,0,0,148,607,8,9,87,0,0,2,0,113.40,122.40,1/8/93
Branden Oliver,SD,RB,0,0,0,0,0,160,582,3,36,271,1,0,0,0,109.30,145.30,5/7/91
Rashad Jennings,NYG,RB,0,0,0,0,0,167,639,4,30,226,0,0,1,0,108.50,138.50,3/26/85
Darren Sproles,PHI,RB,0,0,0,0,0,57,329,6,40,387,0,0,1,0,105.60,145.60,6/20/83
Terrance West,CLE,RB,0,0,0,0,0,171,673,4,11,64,1,0,1,0,101.70,112.70,1/28/91
Knile Davis,KC,RB,0,0,0,0,0,134,463,6,16,147,1,0,2,0,99.00,115.00,10/5/91
Chris Johnson,NYJ,RB,0,0,0,0,0,155,663,1,24,151,1,0,1,0,91.40,115.40,9/23/85
Trent Richardson,IND,RB,0,0,0,0,0,160,519,3,27,229,0,0,1,0,90.80,117.80,7/10/90
Denard Robinson,JAC,RB,0,1,0,0,0,135,582,4,23,124,0,0,2,0,90.60,113.60,10/22/90
LeGarrette Blount,PIT,RB,0,0,0,0,0,125,547,5,10,54,0,0,1,0,88.10,98.10,12/5/86
Roy Helu,WAS,RB,0,0,0,0,0,40,216,1,42,477,2,0,1,0,85.30,127.30,12/7/88
Darren McFadden,OAK,RB,0,1,0,0,0,155,534,2,36,212,0,0,1,0,84.60,120.60,8/27/87
Alfred Blue,HOU,RB,0,0,0,0,0,169,528,2,15,113,1,0,0,0,82.10,97.10,4/27/91
Ronnie Hillman,DEN,RB,0,0,0,0,0,106,434,3,21,139,1,0,0,0,81.30,102.30,9/14/91
Benny Cunningham,STL,RB,0,0,0,0,0,66,246,3,45,352,1,0,2,0,79.80,124.80,7/7/90
Bishop Sankey,TEN,RB,0,0,0,0,0,153,569,2,18,133,0,0,2,0,78.20,96.20,9/15/92
Bobby Rainey,TB,RB,0,1,0,0,0,94,406,1,33,315,1,0,3,0,78.10,111.10,10/16/87
Pierre Thomas,NO,RB,0,0,0,0,0,45,222,2,45,378,1,0,0,0,78.00,123.00,12/18/84
Jonas Gray,NE,RB,0,0,0,0,0,89,412,5,1,7,0,0,0,0,71.90,72.90,6/27/90
Latavius Murray,OAK,RB,0,0,0,0,0,82,424,2,17,143,0,0,0,0,68.70,85.70,2/21/91
Doug Martin,TB,RB,0,0,0,0,0,135,494,2,13,64,0,0,0,0,67.80,80.80,1/13/89
Jerick McKinnon,MIN,RB,0,0,0,0,0,113,538,0,27,135,0,0,0,0,67.30,94.30,5/3/92
Reggie Bush,DET,RB,0,0,0,0,0,76,297,2,40,253,0,0,0,0,67.00,107.00,3/2/85
Ben Tate,CLE,RB,0,0,0,0,0,119,371,4,9,60,0,0,0,0,67.10,76.10,8/21/88
Antone Smith,ATL,RB,0,0,0,0,0,23,144,2,13,222,3,0,1,0,64.60,77.60,9/17/85
Lorenzo Taliaferro,BAL,RB,0,0,0,0,0,68,292,4,8,114,0,0,1,0,62.60,70.60,12/23/91
Carlos Hyde,SF,RB,0,0,0,0,0,83,333,4,12,68,0,0,1,0,62.10,74.10,9/20/91
Toby Gerhart,JAC,RB,0,0,0,0,0,102,326,2,20,186,0,0,1,0,61.20,81.20,3/28/87
Theo Riddick,DET,RB,0,0,0,0,0,20,51,0,34,316,4,0,0,0,60.70,94.70,5/4/91
Anthony Dixon,BUF,RB,0,0,0,0,0,105,432,2,8,49,0,0,0,0,60.10,68.10,9/24/87
Robert Turbin,SEA,RB,0,0,0,0,0,74,310,0,16,186,2,0,1,0,59.60,75.60,12/2/89
James Starks,GB,RB,0,0,0,0,0,85,333,2,18,140,0,0,0,0,59.30,77.30,2/25/86
Ryan Mathews,SD,RB,0,0,0,0,0,74,330,3,9,69,0,0,0,0,57.90,66.90,10/10/87
Devonta Freeman,ATL,RB,0,0,0,0,0,65,248,1,30,225,1,0,1,0,57.30,87.30,3/15/92
Khiry Robinson,NO,RB,0,0,0,0,0,76,362,3,8,63,0,0,2,0,56.50,64.50,12/28/89
Dan Herron,IND,RB,0,0,0,0,0,78,351,1,21,173,0,0,2,0,54.40,75.40,3/21/89
Stepfan Taylor,ARI,RB,0,0,0,0,0,63,208,1,11,79,3,1,0,0,54.70,65.70,6/9/91
Jacquizz Rodgers,ATL,RB,0,0,0,0,0,58,217,1,29,173,1,0,0,0,51.00,80.00,2/7/90
Joseph Randle,DAL,RB,0,0,0,0,0,51,343,3,4,23,0,0,2,0,50.60,54.60,12/29/91
Jordan Todman,JAC,RB,0,0,0,0,0,32,186,1,25,198,1,0,0,0,50.40,75.40,2/24/90
Shonn Greene,TEN,RB,0,0,0,0,0,93,392,2,1,13,0,0,1,0,50.50,51.50,8/21/85
Stevan Ridley,NE,RB,0,0,0,0,0,94,340,2,4,20,0,0,0,0,48.00,52.00,1/27/89
Juwan Thompson,DEN,RB,0,0,0,0,0,54,272,3,4,25,0,0,0,0,47.70,51.70,5/13/92
Bernard Pierce,BAL,RB,0,0,0,0,0,93,366,2,2,13,0,0,1,0,47.90,49.90,5/10/90
Zac Stacy,STL,RB,0,0,0,0,0,76,293,1,18,152,0,0,2,0,46.50,64.50,4/9/91
C.J. Spiller,BUF,RB,0,0,0,0,0,77,300,0,19,125,1,0,1,0,46.50,65.50,8/5/87
Donald Brown,SD,RB,0,0,0,0,0,85,223,0,29,211,0,0,0,0,43.40,72.40,4/11/87
Chris Polk,PHI,RB,0,0,0,0,0,46,172,4,2,16,0,0,0,0,42.80,44.80,12/16/89
Charles Sims,TB,RB,0,0,0,0,0,66,185,1,19,190,0,0,1,0,41.50,60.50,9/19/90
Darrel Young,WAS,RB,0,0,0,0,0,9,22,3,11,81,2,0,0,0,40.30,51.30,4/8/87
Marcel Reece,OAK,RB,0,0,0,0,0,21,85,0,37,265,1,0,1,0,39.00,76.00,6/23/85
Daniel Thomas,MIA,RB,0,0,0,0,0,44,168,2,13,121,0,1,1,0,40.90,53.90,10/29/87
Damien Williams,MIA,RB,0,0,0,0,0,36,122,0,21,187,1,0,0,0,36.90,57.90,4/3/92
Travaris Cadet,NO,RB,0,0,0,0,0,10,32,0,38,296,1,0,2,0,34.80,72.80,2/1/89
De'Anthony Thomas,KC,RB,0,0,0,0,0,15,110,1,22,159,0,0,0,0,32.90,54.90,1/5/93
Fozzy Whittaker,CAR,RB,0,0,0,0,0,32,145,1,5,60,1,0,0,0,32.50,37.50,2/2/89
Lance Dunbar,DAL,RB,0,0,0,0,0,29,99,0,18,217,0,0,0,0,31.60,49.60,1/25/90
Leon Washington,TEN,RB,0,0,0,0,0,13,57,0,22,159,2,0,1,0,31.60,53.60,8/29/82
Bruce Miller,SF,RB,0,0,0,0,0,6,9,0,18,189,2,0,1,0,29.80,47.80,8/6/87
Bilal Powell,NYJ,RB,0,0,0,0,0,33,141,1,11,92,0,0,0,0,29.30,40.30,10/27/88
Bryce Brown,BUF,RB,0,0,0,0,0,36,126,0,16,176,0,0,1,0,28.20,44.20,5/14/91
Montee Ball,DEN,RB,0,0,0,0,0,55,172,1,9,62,0,0,1,0,27.40,36.40,12/5/90
Kerwynn Williams,ARI,RB,0,0,0,0,0,53,246,0,2,11,0,0,0,0,25.70,27.70,6/9/91
DeAngelo Williams,CAR,RB,0,0,0,0,0,63,219,0,5,44,0,0,1,0,24.30,29.30,4/25/83
Silas Redd,WAS,RB,0,0,0,0,0,16,75,1,8,107,0,0,0,0,24.20,32.20,3/1/92
Jonathan Grimes,HOU,RB,0,0,0,0,0,39,153,0,6,86,0,0,0,0,23.90,29.90,12/21/89
Knowshon Moreno,MIA,RB,0,0,0,0,0,31,148,1,1,8,0,0,0,0,21.60,22.60,7/16/87
Ka'Deem Carey,CHI,RB,0,0,0,0,0,36,158,0,5,57,0,0,0,0,21.50,26.50,10/30/92
Peyton Hillis,NYG,RB,0,0,0,0,0,26,115,0,10,87,0,0,0,0,20.20,30.20,1/21/86
Storm Johnson,JAC,RB,0,0,0,0,0,29,86,2,1,-4,0,0,0,0,20.20,21.20,7/10/92
Kyle Juszczyk,BAL,RB,0,0,0,0,0,0,0,0,19,182,1,0,2,0,20.20,39.20,4/23/91
Joe McKnight,KC,RB,0,0,0,0,0,1,3,0,6,64,2,0,0,0,18.70,24.70,4/16/88
Christine Michael,SEA,RB,0,0,0,0,0,34,175,0,1,12,0,0,0,0,18.70,19.70,11/9/90
Adrian Peterson,MIN,RB,0,0,0,0,0,21,75,0,2,18,0,0,0,0,9.30,11.30,3/21/85
Danny Woodhead,SD,RB,0,0,0,0,0,15,38,0,5,34,0,0,0,0,7.20,12.20,1/25/85
Melvin Gordon,SD,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,4/13/93
Todd Gurley,STL,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,8/3/94
Tevin Coleman,ATL,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,4/16/93
Ameer Abdullah,DET,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,6/13/93
Ryan Williams,DAL,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,4/9/90
David Cobb,TEN,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,6/3/93
Jay Ajayi,MIA,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,6/15/93
David Johnson,ARI,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,12/16/91
James White,NE,RB,0,0,0,0,0,9,38,0,5,23,0,0,0,0,6.10,11.10,2/3/92
Cameron Artis-Payne,CAR,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,6/23/92
Duke Johnson,CLE,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,9/23/93
Matt Jones,WAS,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,3/7/93
Antonio Brown,PIT,WR,2,2,20,1,0,4,13,0,129,1698,13,1,2,0,251.90,380.90,7/10/88
Jordy Nelson,GB,WR,0,0,0,0,0,0,0,0,98,1519,13,0,0,0,229.90,327.90,5/31/85
Dez Bryant,DAL,WR,0,0,0,0,0,0,0,0,88,1320,16,0,0,0,228.00,316.00,11/4/88
Demaryius Thomas,DEN,WR,0,0,0,0,0,0,0,0,111,1619,11,1,0,0,229.90,340.90,12/25/87
Odell Beckham Jr.,NYG,WR,0,1,0,0,0,7,35,0,91,1305,12,0,1,0,204.00,295.00,11/5/92
Randall Cobb,GB,WR,0,0,0,0,0,12,37,0,91,1287,12,1,2,0,202.40,293.40,8/22/90
Emmanuel Sanders,DEN,WR,0,0,0,0,0,8,44,0,101,1404,9,1,0,0,200.80,301.80,3/17/87
Julio Jones,ATL,WR,0,0,0,0,0,1,1,0,104,1593,6,0,1,0,193.40,297.40,2/8/89
Jeremy Maclin,PHI,WR,0,0,0,0,0,0,0,0,86,1318,10,0,0,0,191.80,277.80,5/11/88
Mike Evans,TB,WR,0,0,0,0,0,0,0,0,68,1051,12,0,0,0,177.10,245.10,8/21/93
Alshon Jeffery,CHI,WR,0,0,0,0,0,6,33,0,85,1133,10,0,0,0,176.60,261.60,2/14/90
T.Y. Hilton,IND,WR,0,0,0,0,0,2,20,0,82,1345,7,0,1,0,176.50,258.50,11/14/89
Golden Tate,DET,WR,0,0,0,0,0,5,30,0,99,1331,4,0,0,0,160.10,259.10,8/2/88
Calvin Johnson,DET,WR,0,0,0,0,0,0,0,0,71,1077,8,0,0,0,155.70,226.70,9/25/85
DeAndre Hopkins,HOU,WR,0,0,0,0,0,0,0,0,76,1210,6,0,1,0,155.00,231.00,6/6/92
DeSean Jackson,WAS,WR,0,0,0,0,0,4,7,0,56,1169,6,0,0,0,153.60,209.60,12/1/86
Kelvin Benjamin,CAR,WR,0,0,0,0,0,0,0,0,73,1008,9,0,1,0,152.80,225.80,2/5/91
Mike Wallace,MIA,WR,0,1,0,0,0,4,16,0,67,862,10,0,1,0,145.80,212.80,8/1/86
Torrey Smith,BAL,WR,0,0,0,0,0,0,0,0,49,767,11,0,0,0,142.70,191.70,1/26/89
Steve Smith,BAL,WR,0,0,0,0,0,0,0,0,79,1065,6,0,1,0,140.50,219.50,5/12/79
Anquan Boldin,SF,WR,0,1,0,0,0,1,4,0,83,1062,5,0,0,0,136.60,219.60,10/3/80
Brandon LaFell,NE,WR,0,0,0,0,0,2,13,0,74,953,7,0,1,0,136.60,210.60,11/4/86
A.J. Green,CIN,WR,0,0,0,0,0,2,2,0,69,1041,6,0,2,0,136.30,205.30,7/31/88
Jordan Matthews,PHI,WR,0,0,0,0,0,0,0,0,67,872,8,0,0,0,135.20,202.20,7/16/92
Sammy Watkins,BUF,WR,0,0,0,0,0,2,8,0,65,982,6,0,1,0,133.00,198.00,6/14/93
Roddy White,ATL,WR,0,0,0,0,0,0,0,0,80,921,7,0,1,0,132.10,212.10,11/2/81
Julian Edelman,NE,WR,0,0,0,0,0,10,94,0,92,972,4,0,0,0,130.60,222.60,5/22/86
Eric Decker,NYJ,WR,0,0,0,0,0,0,0,0,74,962,5,0,0,0,126.20,200.20,3/15/87
Malcom Floyd,SD,WR,0,0,0,0,0,0,0,0,52,856,6,0,0,0,121.60,173.60,9/8/81
Eddie Royal,SD,WR,0,0,0,0,0,3,14,0,62,778,7,0,1,0,119.20,181.20,5/21/86
Marques Colston,NO,WR,0,0,0,0,0,0,0,0,59,902,5,0,1,0,118.20,177.20,6/5/83
Michael Floyd,ARI,WR,0,0,0,0,0,0,2,0,47,841,6,0,1,0,118.30,165.30,11/27/89
Brandon Marshall,CHI,WR,0,0,0,0,0,0,0,0,61,721,8,0,1,0,118.10,179.10,3/23/84
Mohamed Sanu,CIN,WR,3,3,79,1,0,7,51,0,57,790,5,1,0,0,123.26,180.26,8/23/89
Rueben Randle,NYG,WR,0,0,0,0,0,0,0,0,71,938,3,0,0,0,111.80,182.80,5/7/91
Kenny Stills,NO,WR,0,0,0,0,0,1,-2,0,63,931,3,0,0,0,110.90,173.90,4/22/92
Kendall Wright,TEN,WR,0,0,0,0,0,4,54,0,57,715,6,0,1,0,110.90,167.90,11/12/89
Vincent Jackson,TB,WR,0,0,0,0,0,0,0,0,70,1002,2,0,1,0,110.20,180.20,1/14/83
Greg Jennings,MIN,WR,0,0,0,0,0,0,0,0,59,742,6,0,0,0,110.20,169.20,9/21/83
Terrance Williams,DAL,WR,0,0,0,0,0,0,0,0,37,621,8,0,0,0,110.10,147.10,9/8/89
Andre Johnson,HOU,WR,0,0,0,0,0,0,0,0,85,936,3,0,3,0,105.60,190.60,7/11/81
Martavis Bryant,PIT,WR,0,0,0,0,0,3,12,0,26,549,8,0,0,0,104.10,130.10,12/20/91
Allen Hurns,JAC,WR,0,0,0,0,0,0,0,0,51,677,6,0,0,0,103.70,154.70,11/12/91
Doug Baldwin,SEA,WR,0,0,0,0,0,1,8,0,66,825,3,0,0,0,101.30,167.30,9/21/88
James Jones,OAK,WR,0,0,0,0,0,0,0,0,73,666,6,0,1,0,100.60,173.60,3/31/84
John Brown,ARI,WR,0,0,0,0,0,2,-6,0,48,696,5,0,0,0,99.00,147.00,4/3/90
Keenan Allen,SD,WR,0,0,0,0,0,0,0,0,77,783,4,0,2,0,98.30,175.30,4/27/92
Robert Woods,BUF,WR,0,0,0,0,0,0,0,0,65,699,5,1,1,0,99.90,164.90,4/10/92
Jarvis Landry,MIA,WR,0,0,0,0,0,2,-4,0,84,758,5,0,4,0,97.40,181.40,11/28/92
Andrew Hawkins,CLE,WR,0,0,0,0,0,3,15,0,63,824,2,0,0,0,95.90,158.90,3/10/86
Kenny Britt,STL,WR,0,0,0,0,0,2,14,0,48,748,3,0,0,0,94.20,142.20,9/19/88
Michael Crabtree,SF,WR,0,0,0,0,0,1,4,0,68,698,4,0,0,0,94.20,162.20,9/14/87
Andre Holmes,OAK,WR,0,0,0,0,0,0,0,0,47,693,4,0,0,0,93.30,140.30,6/16/88
Pierre Garcon,WAS,WR,0,1,0,0,0,0,0,0,68,752,3,0,0,0,93.20,161.20,8/8/86
Larry Fitzgerald,ARI,WR,0,0,0,0,0,0,0,0,63,784,2,0,1,0,88.40,151.40,8/31/83
Reggie Wayne,IND,WR,0,0,0,0,0,0,0,0,64,779,2,0,1,0,87.90,151.90,11/17/78
Brandin Cooks,NO,WR,0,0,0,0,0,7,73,1,53,550,3,0,0,0,86.30,139.30,9/25/93
Percy Harvin,SEA,WR,0,0,0,0,0,33,202,1,51,483,1,0,1,0,78.50,129.50,5/28/88
Markus Wheaton,PIT,WR,0,0,0,0,0,4,19,0,53,644,2,0,0,0,78.30,131.30,2/7/91
Jarius Wright,MIN,WR,0,0,0,0,0,5,71,0,42,588,2,0,0,0,77.90,119.90,11/25/89
Nate Washington,TEN,WR,0,0,0,0,0,0,0,0,40,647,2,0,0,0,76.70,116.70,8/28/83
Dwayne Bowe,KC,WR,0,0,0,0,0,0,0,0,60,754,0,0,0,0,75.40,135.40,9/21/84
Riley Cooper,PHI,WR,0,0,0,0,0,0,0,0,55,577,3,0,1,0,73.70,128.70,9/9/87
Devin Hester,ATL,WR,0,0,0,0,0,6,36,1,38,504,2,0,1,0,70.00,108.00,11/4/82
Taylor Gabriel,CLE,WR,0,0,0,0,0,2,-2,0,38,633,1,0,0,0,69.10,107.10,2/17/91
Miles Austin,CLE,WR,0,0,0,0,0,0,0,0,47,568,2,0,0,0,68.80,115.80,6/30/84
Justin Hunter,TEN,WR,0,0,0,0,0,0,0,0,28,498,3,0,0,0,67.80,95.80,5/20/91
Harry Douglas,ATL,WR,0,0,0,0,0,0,0,0,51,556,2,1,0,0,69.60,120.60,9/16/84
Allen Robinson,JAC,WR,0,0,0,0,0,0,0,0,48,548,2,1,0,0,68.80,116.80,8/24/93
Hakeem Nicks,IND,WR,0,0,0,0,0,0,0,0,38,405,4,0,0,0,64.50,102.50,1/14/88
Donte Moncrief,IND,WR,0,0,0,0,0,4,17,0,32,444,3,0,0,0,64.10,96.10,8/6/93
Jerricho Cotchery,CAR,WR,0,0,0,0,0,0,0,0,48,580,1,1,0,0,66.00,114.00,6/16/83
Davante Adams,GB,WR,0,0,0,0,0,0,0,0,38,446,3,0,0,0,62.60,100.60,12/24/92
